camp;id;FY;DMY;D-value;iNDF;NDF;WSC;Ncont;NU;OMD;valk;INDF;Nup
RG_TE20170803;30026;8358.208955;2412.820964;662.0;92.0;502.0;207.0;15.68;37.83303272;;;;
RG_TE20170803;30126;24137.93103;4522.995976;674.0;85.0;554.0;96.0;23.2;104.9335066;;;;
RG_TE20170803;30076;19619.04762;4171.973387;673.0;84.0;564.0;94.0;20.32;84.77449922;;;;
RG_TE20170814;30027;12407.40741;3816.0;656.0;92.0;545.0;185.0;14.72;56.2;;;;
RG_TE20170814;30127;36135.2657;8047.0;643.0;114.0;568.0;134.0;18.72;150.6;;;;
RG_TE20170814;30077;27911.11111;7346.0;631.0;111.0;575.0;167.0;14.08;103.4;;;;
;40193;8528.985507;2354.0;72.7;;57.5;;;;79.23;17.8;;
;40194;7881.040892;2120.0;72.1;;57.5;;;;78.89;18.3;;
;40195;6741.697417;1827.0;72.9;;56.3;;;;79.61;18.3;;
;40196;8032.846715;2201.0;72.9;;57.0;;;;79.61;18.4;;
;40197;7714.814815;2083.0;70.8;;57.9;;;;77.76;17.9;;
;40198;8253.90625;2113.0;70.6;;57.7;;;;77.15;17.8;;
;40199;7017.123288;2049.0;72.0;;57.2;;;;78.46;18.2;;
;40200;8885.714286;2488.0;70.8;;57.2;;;;77.57;18.3;;
;40201;7083.056478;2132.0;71.5;;58.4;;;;77.46;16.6;;
;40202;7225.255973;2117.0;71.3;;58.2;;;;77.52;17.1;;
;40203;8109.489051;2222.0;71.8;;58.5;;;;78.18;17.1;;
;40204;7570.37037;2044.0;71.7;;56.7;;;;78.34;17.8;;
;40205;7404.181185;2125.0;71.5;;58.1;;;;77.93;17.4;;
;40206;9082.437276;2534.0;70.2;;58.4;;;;75.9;16.1;;
;40207;8266.18705;2298.0;71.6;;56.6;;;;78.16;18.3;;
;40208;6549.668874;1978.0;70.6;;58.7;;;;76.52;15.5;;
;40209;9065.637066;2348.0;70.7;;58.3;;;;77.83;18.5;;
;40210;8711.678832;2387.0;71.6;;57.4;;;;78.46;17.6;;
;40211;9381.481481;2533.0;71.5;;57.1;;;;78.14;18.3;;
;40212;9440.613027;2464.0;71.5;;59.1;;;;77.9;16.6;;
;40213;9906.122449;2427.0;71.7;;57.5;;;;78.19;17.8;;
;40214;9100.0;2184.0;71.1;;55.6;;;;78.62;19.7;;
;40215;9590.225564;2551.0;70.4;;58.8;;;;76.83;17.0;;
;40216;9061.371841;2510.0;70.8;;57.1;;;;77.89;18.0;;
;40217;8383.512545;2339.0;69.6;;59.6;;;;76.14;16.1;;
;40218;8271.317829;2134.0;70.2;;58.4;;;;77.22;17.9;;
;40219;9940.740741;2684.0;71.3;;58.6;;;;77.65;17.3;;
;40220;9214.84375;2359.0;71.2;;59.0;;;;77.99;18.6;;
;40221;9759.124088;2674.0;70.9;;57.9;;;;77.69;17.5;;
;40222;10754.51264;2979.0;71.2;;56.9;;;;77.55;17.6;;
;40223;9769.53125;2501.0;69.9;;59.6;;;;76.25;17.2;;
;40224;10273.07692;2671.0;70.1;;58.5;;;;76.59;17.5;;
;40225;8730.769231;2270.0;71.1;;56.5;;;;78.2;18.2;;
;40226;8420.289855;2324.0;70.9;;60.4;;;;77.06;17.4;;
